material_id,peak_T_C,hold_h,fast_rate_C_min,attained,max_ratio,median_ratio,span_ge_1p2,span_ge_1p5,span_ge_2p0,integrated_separation,effect_rho_min,effect_rho_max,meaningful,extreme_warning,promotion_blocked,rejection_reason,Q_GB_diffusion,D_GB_prefactor,Q_surface_diffusion,D_surface_prefactor,Q_disconnection_nucleation,v_star,nu0_nucleation,Q_exchange,tau_exchange_prefactor,Q_transport,tau_transport_prefactor,stress_concentration,gamma_s,gamma_GB,zeta_eta_ratio,event_strain,pore_radius0,pore_ln_sigma,G0,rho0,PR_prefactor,PR_partition,activity_form,ablation_mode
E0000,1450,8,20,True,1.0010588974335561,1.000119280443399,0.0,0.0,0.0,3.972060490983557e-05,nan,nan,False,False,False,ratio_or_span_below_threshold,350000.0,2e-05,250000.0,0.0002,350000.0,3e-29,30000000000000.0,180000.0,2e-10,280000.0,0.002,1,1.0,0.35,0.25,0.004,1.5000000000000002e-08,0.35,5.0000000000000004e-08,0.65,2e-06,smoothing,serial_fraction,full_material_model
E0002,1450,8,20,True,1.0,0.999997193761895,0.0,0.0,0.0,0.0,nan,nan,False,False,False,ratio_or_span_below_threshold,500000.0,2e-05,700000.0,0.0002,500000.0,2e-28,30000000000000.0,325000.0,2e-10,450000.0,0.002,60,1.0,0.35,1,0.004,3.5e-08,0.95,2.2500000000000002e-07,0.75,0.0002,GB_to_TJ,serial_fraction,full_material_model
E0003,1450,8,20,True,1.0000000034633565,1.0000000033985739,0.0,0.0,0.0,5.761954309460668e-10,nan,nan,False,False,False,ratio_or_span_below_threshold,575000.0,2e-05,400000.0,0.0002,400000.0,5e-28,30000000000000.0,245000.0,2e-10,360000.0,0.002,3,1.0,0.35,2,0.004,5.0000000000000004e-08,0.65,1.5000000000000002e-07,0.7,2e-05,large_pore_tail,serial_fraction,full_material_model
E0006,1550,8,20,True,1.0,0.9973972552113363,0.0,0.0,0.0,0.0,nan,nan,False,False,False,ratio_or_span_below_threshold,500000.0,2e-05,550000.0,0.0002,450000.0,5e-28,30000000000000.0,425000.0,2e-10,550000.0,0.002,30,1.0,0.35,2,0.004,5.0000000000000004e-08,0.95,7.500000000000001e-08,0.75,0.002,large_pore_tail,serial_fraction,full_material_model
E0007,1450,8,20,True,0.9999997328763156,0.9999989018584687,0.0,0.0,0.0,0.0,nan,nan,False,False,False,ratio_or_span_below_threshold,575000.0,2e-05,325000.0,0.0002,400000.0,3e-29,30000000000000.0,325000.0,2e-10,450000.0,0.002,1,1.0,0.35,0.25,0.004,1.5000000000000002e-08,0.35,5.0000000000000004e-08,0.65,0.0002,isolation,serial_fraction,full_material_model
E0009,1450,8,20,True,0.9681930602253593,0.9675210745745881,0.0,0.0,0.0,0.0,nan,nan,False,False,False,ratio_or_span_below_threshold,350000.0,2e-05,250000.0,0.0002,550000.0,5e-28,30000000000000.0,245000.0,2e-10,360000.0,0.002,60,1.0,0.35,2,0.004,5.0000000000000004e-08,0.35,2.2500000000000002e-07,0.65,2e-05,balanced,serial_fraction,full_material_model
E0010,1450,8,20,True,0.9999973453787644,0.9999899246869286,0.0,0.0,0.0,0.0,nan,nan,False,False,False,ratio_or_span_below_threshold,500000.0,2e-05,475000.0,0.0002,450000.0,3e-29,30000000000000.0,180000.0,2e-10,280000.0,0.002,10,1.0,0.35,0.25,0.004,1.5000000000000002e-08,0.65,1.5000000000000002e-07,0.7,2e-06,isolation,serial_fraction,full_material_model
E0011,1550,20,20,True,1.0,0.9999802188271577,0.0,0.0,0.0,0.0,nan,nan,False,False,False,ratio_or_span_below_threshold,575000.0,2e-05,700000.0,0.0002,350000.0,8e-29,30000000000000.0,425000.0,2e-10,550000.0,0.002,60,1.0,0.35,0.5,0.004,2.2000000000000002e-08,0.95,1.0000000000000001e-07,0.75,0.002,smoothing,serial_fraction,full_material_model
E0014,1450,8,20,True,1.0075998765654797,1.0041957418347318,0.0,0.0,0.0,0.0007447173813035502,nan,nan,False,False,False,ratio_or_span_below_threshold,425000.0,2e-05,400000.0,0.0002,450000.0,8e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,1,1.0,0.35,0.5,0.004,2.2000000000000002e-08,0.35,5.0000000000000004e-08,0.65,2e-05,large_pore_tail,serial_fraction,full_material_model
E0015,1450,8,20,True,1.0000000007267633,1.0000000007097658,0.0,0.0,0.0,1.1916755211752825e-10,nan,nan,False,False,False,ratio_or_span_below_threshold,575000.0,2e-05,625000.0,0.0002,350000.0,2e-28,30000000000000.0,180000.0,2e-10,280000.0,0.002,30,1.0,0.35,1,0.004,3.5e-08,0.95,3.0000000000000004e-07,0.75,2e-06,balanced,serial_fraction,full_material_model
E0018,1450,8,20,True,0.9997811896117224,0.9993909712141457,0.0,0.0,0.0,0.0,nan,nan,False,False,False,ratio_or_span_below_threshold,425000.0,2e-05,250000.0,0.0002,400000.0,2e-28,30000000000000.0,325000.0,2e-10,450000.0,0.002,60,1.0,0.35,1,0.004,3.5e-08,0.35,1.5000000000000002e-07,0.65,0.0002,isolation,serial_fraction,full_material_model
E0020,1450,8,20,True,1.000000016292515,1.0000000031646872,0.0,0.0,0.0,8.270120631917103e-10,nan,nan,False,False,False,ratio_or_span_below_threshold,650000.0,2e-05,700000.0,0.0002,550000.0,8e-29,30000000000000.0,245000.0,2e-10,360000.0,0.002,60,1.0,0.35,0.5,0.004,2.2000000000000002e-08,0.95,7.500000000000001e-08,0.75,2e-05,large_pore_tail,serial_fraction,full_material_model
