material_id,ablation_mode,path,t_h,T_C,rho,G_nm,tau_nuc,tau_exchange,tau_transport,activity,PR_exposure,pore_D50_nm,pore_D90_nm,connected_fine
M060,full_material_model,reference,0.0,25.0,0.75,100.00000000000001,172823517.61956906,1036941105717.4144,103694.11057174146,0.9998333611231434,0.0,18.68219462521447,53.888774341229976,1.1530216806427607
M060,full_material_model,reference,1.0,85.0,0.7500000000320186,100.00000004860448,172823517.61956906,1036941105717.4144,103694.11067254141,0.9998333611231434,1.3228654225670117e-18,18.68219462521447,53.888774341229976,1.1530216804679208
M060,full_material_model,reference,2.0,145.0,0.7500000000640373,100.00000009720895,172823517.61956906,1036941105717.4144,103694.11077334134,0.9998333611231434,2.645730845102854e-18,18.68219462521447,53.888774341229976,1.15302168029308
M060,full_material_model,reference,3.0,205.0,0.750000000096056,100.00000014581342,172823517.61956906,1036941105717.4144,103694.1108741413,0.9998333611231434,3.968596267607528e-18,18.68219462521447,53.888774341229976,1.1530216801182394
M060,full_material_model,reference,4.0,265.0,0.7500000001280747,100.0000001944179,172823517.61956906,1036941105717.4144,103694.11097494126,0.9998333611231434,5.291461690081031e-18,18.68219462521447,53.888774341229976,1.153021679943399
M060,full_material_model,reference,5.0,325.0,0.7500000001600933,100.00000024302237,172823517.61956906,496278188609.3049,103694.11107574121,0.9996518821045779,6.6143271125233655e-18,18.68219462521447,53.888774341229976,1.1530216797685588
M060,full_material_model,reference,6.0,385.0,0.7500000011016429,100.00000029162683,172823517.61956906,5562701518.278843,103694.11117654115,0.9698684266791306,2.4639368298704664e-15,18.68219462521447,53.888774341229976,1.1530216746271542
M060,full_material_model,reference,7.0,445.0,0.7500000357414314,100.00000034023131,172823517.61956906,132055645.9978068,103694.11127734109,0.43333366699143416,2.454957843992881e-12,18.68219462521447,53.888774341229976,1.1530214854729217
M060,full_material_model,reference,8.0,505.0,0.7500001894939098,100.00000038883577,172823517.61956906,5581486.542875161,103694.11137814105,0.03184819960724016,3.3805006600514794e-11,18.68219462521447,53.888774341229976,1.1530206458828156
M060,full_material_model,reference,9.0,565.0,0.7500003789831234,100.00000043744025,172823517.61956906,371075.91727953043,103694.11147894099,0.0027396117711325422,8.014121650755767e-11,18.68219462521447,53.888774341229976,1.1530196111433768
M060,full_material_model,reference,10.0,625.0,0.7500005708494031,100.00000068806403,172823517.61956906,35438.11399677176,17278.82301327286,0.00030494033575674263,1.2764279824682e-10,18.68219462521447,53.888774341229976,1.1530185634233323
