material_id,ablation_mode,rho,G_reference_nm,G_comparison_nm,ratio,pct,delta_ln_G
M060,full_material_model,0.75,100.00000000000001,100.00000000000001,1.0,0.0,0.0
M060,full_material_model,0.751,143.32783780314074,103.42901166629686,1.385760489190145,27.83745764144192,0.32624907861270547
M060,full_material_model,0.752,167.54492172838633,106.482920635736,1.5734440859444059,36.44515182121744,0.4532669020605731
M060,full_material_model,0.753,186.63922000871176,109.50192364412138,1.7044378198805414,41.32962855341436,0.5332353319541951
M060,full_material_model,0.754,202.84891334471902,112.48776237093129,1.8032976127289253,44.54603649773025,0.5896169958955348
M060,full_material_model,0.755,217.13069392325977,115.44215351153363,1.8808614298897899,46.83287220906031,0.6317298792850952
M060,full_material_model,0.756,230.00948006317958,118.36496861670508,1.943222583093879,48.53909126519816,0.6643477202386859
M060,full_material_model,0.757,241.81444185479344,121.25912003088312,1.9941959152697664,49.85447556366476,0.6902409191052558
M060,full_material_model,0.758,252.76094134646465,124.12376837404996,2.0363621299730723,50.892820816048896,0.7111649463169837
M060,full_material_model,0.759,263.0015395793883,126.96162400972901,2.0715042173628357,51.725900839677394,0.7282750184313092
M060,full_material_model,0.76,272.6502468252139,129.77347318012008,2.1009705615783814,52.402950413130164,0.7423994101408926
M060,full_material_model,0.761,281.7960456147398,132.5601345503982,2.1257978242893487,52.95883792080281,0.7541471786382942
M060,full_material_model,0.762,290.5030320820119,135.3221659064871,2.1467512741612547,53.41798502527013,0.7639556641006197
M060,full_material_model,0.763,298.8317243247377,138.06093442936424,2.1644915381738796,53.799773186285044,0.7721854785246797
M060,full_material_model,0.764,306.81488378379436,140.7772260080234,2.179435498795152,54.116559056103036,0.7790658977620101
M060,full_material_model,0.765,314.5040168280993,143.471838821353,2.1920958106608683,54.3815559914545,0.7848580773736449
M060,full_material_model,0.766,321.9176925483129,146.14561732822224,2.202718757041695,54.60155787918089,0.7896923960489486
M060,full_material_model,0.767,329.0909868081653,148.7993707441111,2.2116423286097096,54.784732275013766,0.7937353746589981
M060,full_material_model,0.768,336.0425997953377,151.43387470306706,2.2190715284427154,54.93610786391492,0.7970888779702392
M060,full_material_model,0.769,342.79030217484393,154.04987289627002,2.225190425218091,55.0600259345449,0.7998424963237518
M060,full_material_model,0.77,349.3503056748847,156.64807867112,2.2301601694607425,55.16017128752675,0.802073407763033
M060,full_material_model,0.771,355.7373993521405,159.22917657977132,2.2341219554942664,55.23968610841726,0.8038482897990112
M060,full_material_model,0.772,361.96491472599274,161.79382386982647,2.2371985905791854,55.3012412840332,0.805224453971885
M060,full_material_model,0.773,368.04465375451986,164.34265191274972,2.239495648092112,55.347088937103884,0.8062506834135471
M060,full_material_model,0.774,373.9871225777585,166.87626756768267,2.241104310569953,55.379140752904895,0.8069687401746067
M060,full_material_model,0.775,379.80172141133255,169.39525447992196,2.242103668000626,55.3990293012749,0.8074145626535114
M060,full_material_model,0.776,385.49690023505894,171.90017431446978,2.2425625905988946,55.408156535201016,0.8076192256421966
M060,full_material_model,0.777,391.08028751018645,174.3915679259017,2.2425412659650776,55.4077325052188,0.8076097165496542
M060,full_material_model,0.778,396.5587974180135,176.86995646638087,2.24209246918309,55.39880652806654,0.8074095678597096
M060,full_material_model,0.779,401.93871983812716,179.3358424340487,2.2412626186867324,55.38229247824827,0.8070393761217943
M060,full_material_model,0.78,407.22579633955183,181.78971066427772,2.24009265899323,55.358989460309544,0.8065172306333924
M060,full_material_model,0.781,412.425284749315,184.2320292664254,2.2386188025584306,55.3295988197214,0.8058590696865865
M060,full_material_model,0.782,417.54201432553754,186.6632505087967,2.236873156271649,55.29473822884221,0.8050789782949073
M060,full_material_model,0.783,422.58043315063463,189.08381165453662,2.234884252929623,55.254953419214495,0.8041894383260878
M060,full_material_model,0.784,427.5446490421541,191.49413575114164,2.23267750401388,55.210728006968665,0.803201539684604
M060,full_material_model,0.785,432.4384650308279,193.89463237621385,2.2302755869578035,55.162491763448614,0.8021251594318787
M060,full_material_model,0.786,437.2654102605551,196.28569834200547,2.2276987776188863,55.11062761057548,0.8009691143696316
M060,full_material_model,0.787,442.02876701073245,198.66771836118565,2.224965236713027,55.05547756434549,0.7997412915469471
M060,full_material_model,0.788,446.7315944183318,201.04106567617734,2.222091257404571,54.99734780613772,0.7984487603131422
M060,full_material_model,0.789,451.3767493783231,203.40610265427108,2.219091479991272,54.9365130272172,0.797097868874142
M060,full_material_model,0.79,455.9669050212817,205.763181350634,2.2159790786102014,54.87322016473317,0.7956943277800919
M060,full_material_model,0.791,460.50456710216326,208.11264404119711,2.2127659240685236,54.807691625992675,0.7942432823468968
M060,full_material_model,0.792,464.99208858126815,210.45482372729984,2.209462726232348,54.740128080583894,0.7927493756714565
M060,full_material_model,0.793,469.4316826348794,212.7900446138643,2.206079158856916,54.67071088608842,0.791216803622201
M060,full_material_model,0.794,473.8254342971457,215.1186225627576,2.202623969288918,54.59960420194491,0.7896493629599564
M060,full_material_model,0.795,478.17531090494657,217.44086552290608,2.1991050750971817,54.52695683693929,0.7880504935584601
M060,full_material_model,0.796,482.4831714926699,219.75707393862618,2.1955296493773755,54.45290386838604,0.7864233155412363
M060,full_material_model,0.797,486.7507752630183,222.06754113754593,2.1919041962171804,54.37756806498139,0.7847706620253285
M060,full_material_model,0.798,490.9797892425026,224.37255369940544,2.188234617591749,54.30106114030198,0.783095108057776
M060,full_material_model,0.799,495.17179521554084,226.67239180694335,2.1845262727773136,54.22348485977957,0.7813989962435604
M060,full_material_model,0.8,499.32829601859686,228.96732957999942,2.1807840312175863,54.14493202054148,0.7796844594909091
