method,time_min,fractional_density,uncertainty_time_min,uncertainty_density,extraction_method
HMS,18,0.660,0.8,0.008,visual digitization embedded Figure 4
HMS,20,0.670,0.8,0.008,visual digitization embedded Figure 4
HMS,22,0.710,0.8,0.008,visual digitization embedded Figure 4
HMS,23,0.760,0.8,0.008,visual digitization embedded Figure 4
HMS,24,0.840,0.8,0.008,visual digitization embedded Figure 4
HMS,25,0.900,0.8,0.008,visual digitization embedded Figure 4
HMS,26,0.925,0.8,0.008,visual digitization embedded Figure 4
HMS,27,0.955,0.8,0.008,visual digitization embedded Figure 4
HMS,28,0.973,0.8,0.008,visual digitization embedded Figure 4
HMS,29,0.980,0.8,0.008,visual digitization embedded Figure 4
LMS,190,0.670,4,0.008,visual digitization embedded Figure 4
LMS,210,0.700,4,0.008,visual digitization embedded Figure 4
LMS,230,0.790,4,0.008,visual digitization embedded Figure 4
LMS,240,0.890,4,0.008,visual digitization embedded Figure 4
LMS,250,0.960,4,0.008,visual digitization embedded Figure 4
LMS,260,0.970,4,0.008,visual digitization embedded Figure 4
LMS,270,0.980,4,0.008,visual digitization embedded Figure 4
CS,190,0.650,4,0.008,visual digitization embedded Figure 4
CS,210,0.670,4,0.008,visual digitization embedded Figure 4
CS,230,0.760,4,0.008,visual digitization embedded Figure 4
CS,240,0.820,4,0.008,visual digitization embedded Figure 4
CS,250,0.925,4,0.008,visual digitization embedded Figure 4
CS,260,0.950,4,0.008,visual digitization embedded Figure 4
CS,300,0.975,4,0.008,visual digitization embedded Figure 4
TSS,720,0.870,30,0.01,visual digitization embedded Figure 4
TSS,1150,0.940,30,0.01,visual digitization embedded Figure 4
TSS,1500,0.980,30,0.01,visual digitization embedded Figure 4
