method,fractional_density,G_um,uncertainty_density,uncertainty_G_um,extraction_method
CS,0.66,0.05,0.007,0.05,visual digitization embedded Figure 6
CS,0.72,0.13,0.007,0.05,visual digitization embedded Figure 6
CS,0.77,0.17,0.007,0.05,visual digitization embedded Figure 6
CS,0.82,0.21,0.007,0.06,visual digitization embedded Figure 6
CS,0.93,0.41,0.007,0.08,visual digitization embedded Figure 6
CS,0.96,0.98,0.007,0.10,visual digitization embedded Figure 6
CS,0.975,2.14,0.007,0.12,visual digitization embedded Figure 6
LMS,0.70,0.09,0.007,0.05,visual digitization embedded Figure 6
LMS,0.79,0.20,0.007,0.06,visual digitization embedded Figure 6
LMS,0.89,0.46,0.007,0.08,visual digitization embedded Figure 6
LMS,0.96,1.03,0.007,0.10,visual digitization embedded Figure 6
LMS,0.97,1.83,0.007,0.12,visual digitization embedded Figure 6
LMS,0.98,2.35,0.007,0.15,visual digitization embedded Figure 6
HMS,0.66,0.05,0.007,0.05,visual digitization embedded Figure 6
HMS,0.76,0.17,0.007,0.05,visual digitization embedded Figure 6
HMS,0.84,0.25,0.007,0.06,visual digitization embedded Figure 6
HMS,0.90,0.36,0.007,0.07,visual digitization embedded Figure 6
HMS,0.95,0.52,0.007,0.08,visual digitization embedded Figure 6
HMS,0.965,0.66,0.007,0.09,visual digitization embedded Figure 6
HMS,0.98,0.90,0.007,0.10,visual digitization embedded Figure 6
TSS,0.82,0.18,0.01,0.06,visual digitization embedded Figure 6
TSS,0.88,0.21,0.01,0.06,visual digitization embedded Figure 6
TSS,0.94,0.25,0.01,0.07,visual digitization embedded Figure 6
TSS,0.976,0.29,0.01,0.08,visual digitization embedded Figure 6
