case_id,T_peak_C,hold_h,reference_rate_C_min,fast_rate_C_min,rho,G_reference_nm,G_fast_nm,G_reference_over_G_fast,percent_reduction,both_attained
P001,1500,0,0.2,100,0.6501907097312396,15.029880727092731,15.062963414743766,0.9978037065655586,-0.2201127756882304,True
P001,1500,0,0.2,100,0.6562244723783754,134.67762526145304,17.31670038179521,7.777326066289027,87.14211039274129,True
P001,1500,0,0.2,100,0.6622582350255113,254.32536979581337,19.570437348846653,12.995385093466066,92.30496062403884,True
P001,1500,0,0.2,100,0.6682919976726471,373.9731143301736,21.824174315898095,17.135727973806926,94.1642397595914,True
P001,1500,0,0.2,100,0.674325760319783,493.62085886453394,24.07791128294954,20.500983372842857,95.1221852053952,True
P001,1500,0,0.2,100,0.6803595229669188,613.2686033988942,26.331648250000985,23.29017149159553,95.70634333731353,True
P001,1500,0,0.2,100,0.6863932856140547,732.9163479332545,28.58538521705243,25.639547704819385,96.09977519294526,True
P001,1500,0,0.2,100,0.6924270482611905,852.5640924676148,30.83912218410387,27.645536970149944,96.38277961075693,True
P001,1500,0,0.2,100,0.6984608109083263,972.2118370019753,33.09285915115532,29.37829676672207,96.59612669876512,True
P001,1500,0,0.2,100,0.7044945735554622,1091.8595815363356,35.34659611820676,30.890091308507273,96.76271594663562,True
P001,1500,0,0.2,100,0.710528336202598,1211.507326070696,37.6003330852582,32.22065409164384,96.89640068399686,True
P001,1500,0,0.2,100,0.7165620988497339,1331.1550706050562,39.854070052309645,33.40073093809179,97.00605354459609,True
P001,1500,0,0.2,100,0.7225958614968697,1450.8028151394165,42.10780701936109,34.454485232924625,97.09762025687036,True
P001,1500,0,0.2,100,0.7286296241440056,1570.4505596737768,44.361543986412535,35.40116998981796,97.1752346030156,True
P001,1500,0,0.2,100,0.7346633867911414,1690.098304208137,46.61528095346398,36.25631487441557,97.24185978783616,True
P001,1500,0,0.2,100,0.7406971494382772,1809.7460487424976,48.86901792051542,37.03258476947536,97.29967539067307,True
P001,1500,0,0.2,100,0.7467309120854131,1929.3937932768577,51.12275488756686,37.74041124192408,97.3503203407356,True
P001,1500,0,0.2,100,0.7527646747325489,2049.041537811218,53.37649185461831,38.38846403379596,97.39505076546008,True
P001,1500,0,0.2,100,0.7587984373796848,2168.6892823455782,55.63022882166975,38.98400794463035,97.43484558740003,True
P001,1500,0,0.2,100,0.7648322000268206,2288.3370268799385,57.8839657887212,39.5331763416567,97.47047899375016,True
P001,1500,0,0.2,100,0.7708659626739565,2407.984771414299,60.13770275577264,40.041183169125226,97.50257130071252,True
P001,1500,0,0.2,100,0.7768997253210923,2527.632515948659,62.39143972282408,40.51248900775083,97.53162537160162,True
P001,1500,0,0.2,100,0.7829334879682281,2647.280260483019,64.64517668987553,40.950932397987025,97.55805315912866,True
P001,1500,0,0.2,100,0.788967250615364,2766.9280050173797,66.89891365692696,41.35983461864304,97.58219536122311,True
P001,1500,0,0.2,100,0.7950010132624998,2886.57574955174,69.15265062397842,41.74208397661667,97.60433618848502,True
