config_id,path,Delta_rho_open,Delta_rho_closed,state_density_gain,integral_closure_transfer
resolved_proxy_current__m3__x1,PDF_conditioned_5C_min,0.27134178756625765,0.00015628614897614736,0.2770114819957471,0.003241620952741654
resolved_proxy_current__m3__x1,PDF_conditioned_50C_min,0.22516206233274846,6.960746271980164e-08,0.2405037465317097,0.0003102879991613801
renewal_limited_closed_shrinkage__m3__x1,PDF_conditioned_5C_min,0.27136052942925637,2.9119332613927305e-06,0.27687808340446407,0.0032413992056110953
renewal_limited_closed_shrinkage__m3__x1,PDF_conditioned_50C_min,0.22516206888373444,9.14511109691986e-09,0.24050373554972593,0.0003102879882345822
surface_diffusion_accommodation_only__m4__x1,PDF_conditioned_5C_min,0.27136085876541305,0.0,0.2768755623313929,0.003241395332619508
surface_diffusion_accommodation_only__m4__x1,PDF_conditioned_50C_min,0.22516206994521035,0.0,0.24050373379958634,0.0003102879865117773
GB_diffusion_closed_shrinkage__m3__x0p03,PDF_conditioned_5C_min,0.2703711708303881,0.0032619422864571773,0.27914003713259916,0.0032634951758498793
GB_diffusion_closed_shrinkage__m3__x0p03,PDF_conditioned_50C_min,0.22490125714772363,0.00030190644120138815,0.24067145584321603,0.00031154846881210923
GB_diffusion_closed_shrinkage__m3__x0p1,PDF_conditioned_5C_min,0.2703711674778961,0.0032619780528691323,0.27914003713457536,0.003263495200048616
GB_diffusion_closed_shrinkage__m3__x0p1,PDF_conditioned_50C_min,0.2249012539616666,0.0003019166393179522,0.24067145583548788,0.0003115484703345521
GB_diffusion_closed_shrinkage__m3__x0p3,PDF_conditioned_5C_min,0.2703712017673012,0.003263494983908013,0.27914003713482405,0.003263494983908013
GB_diffusion_closed_shrinkage__m3__x0p3,PDF_conditioned_50C_min,0.22490125256892296,0.00030190690041035,0.240671455833795,0.0003115484708758899
GB_diffusion_closed_shrinkage__m3__x1,PDF_conditioned_5C_min,0.27037112601559493,0.003260413096986036,0.2791400371355611,0.003263495455177989
GB_diffusion_closed_shrinkage__m3__x1,PDF_conditioned_50C_min,0.2249012520997738,0.0003019068002097384,0.24067145583336536,0.0003115484710092405
GB_diffusion_closed_shrinkage__m3__x3,PDF_conditioned_5C_min,0.2703711038933367,0.0032580358970611565,0.27914003713567803,0.003263495598442663
GB_diffusion_closed_shrinkage__m3__x3,PDF_conditioned_50C_min,0.2249012519919062,0.00030190679714747667,0.24067145583317207,0.00031154847103879405
GB_diffusion_closed_shrinkage__m3__x10,PDF_conditioned_5C_min,0.2703711956459571,0.0032629137042753924,0.2791400371344206,0.003263495031419891
GB_diffusion_closed_shrinkage__m3__x10,PDF_conditioned_50C_min,0.22490125194340987,0.00030190679454409567,0.24067145583313831,0.00031154847104957194
GB_diffusion_closed_shrinkage__m3__x30,PDF_conditioned_5C_min,0.2703712007253082,0.003263112095039767,0.27914003713479685,0.00326349500030933
GB_diffusion_closed_shrinkage__m3__x30,PDF_conditioned_50C_min,0.22490125192433585,0.0003019067943167524,0.24067145583310567,0.00031154847105351307
GB_diffusion_closed_shrinkage__m3__x100,PDF_conditioned_5C_min,0.2703712429154877,0.003263494737372391,0.27914003713430713,0.003263494737372391
GB_diffusion_closed_shrinkage__m3__x100,PDF_conditioned_50C_min,0.2249012519228149,0.00030190679535387543,0.24067145583309046,0.0003115484710547762
GB_diffusion_closed_shrinkage__m4__x0p03,PDF_conditioned_5C_min,0.27037132993285495,0.0032634941948896175,0.27914003713293833,0.0032634941948896175
GB_diffusion_closed_shrinkage__m4__x0p03,PDF_conditioned_50C_min,0.224901251924883,0.0003019068042274879,0.24067145583311444,0.00031154847105905963
GB_diffusion_closed_shrinkage__m4__x0p1,PDF_conditioned_5C_min,0.27037132993285495,0.0032634941948896175,0.27914003713293833,0.0032634941948896175
GB_diffusion_closed_shrinkage__m4__x0p1,PDF_conditioned_50C_min,0.224901251924883,0.0003019068042274879,0.24067145583311444,0.00031154847105905963
GB_diffusion_closed_shrinkage__m4__x0p3,PDF_conditioned_5C_min,0.27037132993285495,0.0032634941948896175,0.27914003713293833,0.0032634941948896175
GB_diffusion_closed_shrinkage__m4__x0p3,PDF_conditioned_50C_min,0.224901251924883,0.0003019068042274879,0.24067145583311444,0.00031154847105905963
GB_diffusion_closed_shrinkage__m4__x1,PDF_conditioned_5C_min,0.27037132993285495,0.0032634941948896175,0.27914003713293833,0.0032634941948896175
GB_diffusion_closed_shrinkage__m4__x1,PDF_conditioned_50C_min,0.224901251924883,0.0003019068042274879,0.24067145583311444,0.00031154847105905963
GB_diffusion_closed_shrinkage__m4__x3,PDF_conditioned_5C_min,0.27037132993285495,0.0032634941948896175,0.27914003713293833,0.0032634941948896175
GB_diffusion_closed_shrinkage__m4__x3,PDF_conditioned_50C_min,0.224901251924883,0.0003019068042274879,0.24067145583311444,0.00031154847105905963
GB_diffusion_closed_shrinkage__m4__x10,PDF_conditioned_5C_min,0.27037132993285495,0.0032634941948896175,0.27914003713293833,0.0032634941948896175
GB_diffusion_closed_shrinkage__m4__x10,PDF_conditioned_50C_min,0.224901251924883,0.0003019068042274879,0.24067145583311444,0.00031154847105905963
GB_diffusion_closed_shrinkage__m4__x30,PDF_conditioned_5C_min,0.27037132993285495,0.0032634941948896175,0.27914003713293833,0.0032634941948896175
GB_diffusion_closed_shrinkage__m4__x30,PDF_conditioned_50C_min,0.224901251924883,0.0003019068042274879,0.24067145583311444,0.00031154847105905963
GB_diffusion_closed_shrinkage__m4__x100,PDF_conditioned_5C_min,0.27037132993285495,0.0032634941948896175,0.27914003713293833,0.0032634941948896175
GB_diffusion_closed_shrinkage__m4__x100,PDF_conditioned_50C_min,0.224901251924883,0.0003019068042274879,0.24067145583311444,0.00031154847105905963
gas_accommodation_limited__m3__x0p03,PDF_conditioned_5C_min,0.2703712589302519,0.0032634946375780455,0.27914003713395874,0.0032634946375780455
gas_accommodation_limited__m3__x0p03,PDF_conditioned_50C_min,0.22490125192275728,0.00030190679597531545,0.24067145583316674,0.0003115484710538988
gas_accommodation_limited__m3__x0p1,PDF_conditioned_5C_min,0.2703712778718942,0.0032634945195233007,0.27914003713371527,0.0032634945195233007
gas_accommodation_limited__m3__x0p1,PDF_conditioned_50C_min,0.22490125192303784,0.00030190679675453583,0.24067145583316085,0.000311548471054416
gas_accommodation_limited__m3__x0p3,PDF_conditioned_5C_min,0.2703713058138161,0.003263494345264661,0.2791400371331719,0.003263494345264661
gas_accommodation_limited__m3__x0p3,PDF_conditioned_50C_min,0.22490125192367122,0.0003019067992498922,0.2406714558331453,0.000311548471055973
gas_accommodation_limited__m3__x1,PDF_conditioned_5C_min,0.27037132993285495,0.0032634941948896175,0.27914003713293833,0.0032634941948896175
gas_accommodation_limited__m3__x1,PDF_conditioned_50C_min,0.22490125192433474,0.00030190680195979984,0.24067145583312854,0.00031154847105765483
gas_accommodation_limited__m3__x3,PDF_conditioned_5C_min,0.27037132993285495,0.0032634941948896175,0.27914003713293833,0.0032634941948896175
gas_accommodation_limited__m3__x3,PDF_conditioned_50C_min,0.22490125192467608,0.00030190680337774785,0.24067145583311977,0.0003115484710585333
gas_accommodation_limited__m3__x10,PDF_conditioned_5C_min,0.27037132993285495,0.0032634941948896175,0.27914003713293833,0.0032634941948896175
gas_accommodation_limited__m3__x10,PDF_conditioned_50C_min,0.22490125192484076,0.0003019068040608924,0.24067145583311544,0.00031154847105895647
gas_accommodation_limited__m3__x30,PDF_conditioned_5C_min,0.27037132993285495,0.0032634941948896175,0.27914003713293833,0.0032634941948896175
gas_accommodation_limited__m3__x30,PDF_conditioned_50C_min,0.224901251924883,0.0003019068042274879,0.24067145583311444,0.00031154847105905963
gas_accommodation_limited__m3__x100,PDF_conditioned_5C_min,0.27037132993285495,0.0032634941948896175,0.27914003713293833,0.0032634941948896175
gas_accommodation_limited__m3__x100,PDF_conditioned_50C_min,0.224901251924883,0.0003019068042274879,0.24067145583311444,0.00031154847105905963
empirical_closed_rate_scale__m4__x1,PDF_conditioned_5C_min,0.27136082373049947,1.9347604885139868e-07,0.27687572011219985,0.003241395818627587
empirical_closed_rate_scale__m4__x1,PDF_conditioned_50C_min,0.2251620698659263,4.662242986614856e-10,0.24050373394065416,0.00031028798665446914
empirical_closed_rate_scale__m4__x30,PDF_conditioned_5C_min,0.2713598160885239,5.733584429469125e-06,0.27688023519751126,0.003241409802940552
empirical_closed_rate_scale__m4__x30,PDF_conditioned_50C_min,0.22516206810572137,1.3983679279999704e-08,0.2405037380298648,0.00031028799080135634
empirical_closed_rate_scale__m4__x100,PDF_conditioned_5C_min,0.2713574445243663,1.865838303784155e-05,0.27689075180546363,0.003241442822087459
empirical_closed_rate_scale__m4__x100,PDF_conditioned_50C_min,0.22516206384486342,4.6587817665122555e-08,0.24050374789474627,0.00031028800080718785
empirical_closed_rate_scale__m4__x300,PDF_conditioned_5C_min,0.2713510107463494,5.319017101394222e-05,0.2769187696368094,0.003241532957254902
empirical_closed_rate_scale__m4__x300,PDF_conditioned_50C_min,0.22516205168777975,1.3955600419818683e-07,0.24050377603911055,0.0003102880293719356
