config_id,law,m,prefactor_factor,path,final_rho,final_G_um,pore_D50_nm,pore_D90_nm,closed_inventory_formed,final_A_closed,candidate_state_injected,matched_density_grain_ratio_median
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,PDF_conditioned_5C_min,0.9370114819957471,0.9378569902529972,50.778263157337946,79.77973951750052,0.00019513691209071065,0.17130037636087972,False,0.6005296307310997
resolved_proxy_current__m3__x1,resolved_proxy_current,3,1.0,PDF_conditioned_50C_min,0.9005037465317097,0.25847102380067877,50.778263157337946,79.77973951750052,2.7095039986133637e-05,0.015390840896590626,False,0.6005296307310997
renewal_limited_closed_shrinkage__m3__x1,renewal_limited_closed_shrinkage,3,1.0,PDF_conditioned_5C_min,0.9368780834044641,0.9373113442549278,50.778263157337946,79.77973951750052,0.00020515188155209674,0.17204299899188447,False,0.6005298019210118
renewal_limited_closed_shrinkage__m3__x1,renewal_limited_closed_shrinkage,3,1.0,PDF_conditioned_50C_min,0.900503735549726,0.25847099578862087,50.778263157337946,79.77973951750052,2.7096343111443784e-05,0.015390906070697992,False,0.6005298019210118
surface_diffusion_accommodation_only__m4__x1,surface_diffusion_accommodation_only,4,1.0,PDF_conditioned_5C_min,0.9368755623313929,0.9373016326659486,50.778263157337946,79.77973951750052,0.0002053398358305646,0.1764944480177663,False,0.6005298077971588
surface_diffusion_accommodation_only__m4__x1,surface_diffusion_accommodation_only,4,1.0,PDF_conditioned_50C_min,0.9005037337995864,0.2584709912659082,50.778263157337946,79.77973951750052,2.7096551064805993e-05,0.01660200332520761,False,0.6005298077971588
GB_diffusion_closed_shrinkage__m3__x0p03,GB_diffusion_closed_shrinkage,3,0.03,PDF_conditioned_5C_min,0.9391400371325992,0.9483342323475119,50.778263157337946,79.77973951750052,1.1368818298205082e-06,0.15645985711023772,False,0.5993819976914598
GB_diffusion_closed_shrinkage__m3__x0p03,GB_diffusion_closed_shrinkage,3,0.03,PDF_conditioned_50C_min,0.9006714558432161,0.25949566451333533,50.778263157337946,79.77973951750052,1.9999425800149188e-06,0.01413812382301982,False,0.5993819976914598
GB_diffusion_closed_shrinkage__m3__x0p1,GB_diffusion_closed_shrinkage,3,0.1,PDF_conditioned_5C_min,0.9391400371345754,0.9483342323520758,50.778263157337946,79.77973951750052,1.1368818306216887e-06,0.15645796096784423,False,0.5993819972464045
GB_diffusion_closed_shrinkage__m3__x0p1,GB_diffusion_closed_shrinkage,3,0.1,PDF_conditioned_50C_min,0.9006714558354879,0.25949566456759793,50.778263157337946,79.77973951750052,1.9999425815303547e-06,0.014138123845518928,False,0.5993819972464045
GB_diffusion_closed_shrinkage__m3__x0p3,GB_diffusion_closed_shrinkage,3,0.3,PDF_conditioned_5C_min,0.9391400371348241,0.9483342323850695,50.778263157337946,79.77973951750052,1.1368818296091631e-06,0.15645635367250071,False,0.5993820534804846
GB_diffusion_closed_shrinkage__m3__x0p3,GB_diffusion_closed_shrinkage,3,0.3,PDF_conditioned_50C_min,0.900671455833795,0.2594956645764924,50.778263157337946,79.77973951750052,1.9999425818564167e-06,0.014138123850476634,False,0.5993820534804846
GB_diffusion_closed_shrinkage__m3__x1,GB_diffusion_closed_shrinkage,3,1.0,PDF_conditioned_5C_min,0.9391400371355612,0.948334232362937,50.778263157337946,79.77973951750052,1.1368818306352345e-06,0.15645582342486405,False,0.5993818621845819
GB_diffusion_closed_shrinkage__m3__x1,GB_diffusion_closed_shrinkage,3,1.0,PDF_conditioned_50C_min,0.9006714558333654,0.2594956645801923,50.778263157337946,79.77973951750052,1.999942581896077e-06,0.014138123851481086,False,0.5993818621845819
GB_diffusion_closed_shrinkage__m3__x3,GB_diffusion_closed_shrinkage,3,3.0,PDF_conditioned_5C_min,0.9391400371356781,0.9483342323602609,50.778263157337946,79.77973951750052,1.13688183084741e-06,0.15645560010053997,False,0.5993818432033997
GB_diffusion_closed_shrinkage__m3__x3,GB_diffusion_closed_shrinkage,3,3.0,PDF_conditioned_50C_min,0.9006714558331721,0.25949566458120754,50.778263157337946,79.77973951750052,1.999942581902629e-06,0.014138123851744285,False,0.5993818432033997
GB_diffusion_closed_shrinkage__m3__x10,GB_diffusion_closed_shrinkage,3,10.0,PDF_conditioned_5C_min,0.9391400371344206,0.9483342323799571,50.778263157337946,79.77973951750052,1.1368818296027708e-06,0.15645544419267654,False,0.5993820946532
GB_diffusion_closed_shrinkage__m3__x10,GB_diffusion_closed_shrinkage,3,10.0,PDF_conditioned_50C_min,0.9006714558331383,0.25949566458215206,50.778263157337946,79.77973951750052,1.9999425818899524e-06,0.014138123851791862,False,0.5993820946532
GB_diffusion_closed_shrinkage__m3__x30,GB_diffusion_closed_shrinkage,3,30.0,PDF_conditioned_5C_min,0.9391400371347969,0.9483342323877127,50.778263157337946,79.77973951750052,1.1368818294876908e-06,0.15645535571551103,False,0.5993821109734037
