model,law,closed_fraction_at_switch,A_closed_at_switch,closed_density_contribution,second_step_T2_success_interval,lower_boundary_present,upper_boundary_present,conditional_comparator,calibrated
resolved_proxy_current__m3__x1,resolved_proxy_current,0.649,0.152,0.0866090560019853,none,False,False,False,False
renewal_limited_closed_shrinkage__m3__x1,renewal_limited_closed_shrinkage,0.649,0.152,0.0031949305494242,none,False,False,False,False
surface_diffusion_accommodation_only__m4__x1,surface_diffusion_accommodation_only,0.649,0.152,0.0,none,False,False,False,False
GB_diffusion_closed_shrinkage__m3__x0p03,GB_diffusion_closed_shrinkage,0.649,0.152,0.12,900-1125,False,True,False,False
GB_diffusion_closed_shrinkage__m3__x0p1,GB_diffusion_closed_shrinkage,0.649,0.152,0.12,900-1125,False,True,False,False
GB_diffusion_closed_shrinkage__m3__x0p3,GB_diffusion_closed_shrinkage,0.649,0.152,0.12,900-1125,False,True,False,False
GB_diffusion_closed_shrinkage__m3__x1,GB_diffusion_closed_shrinkage,0.649,0.152,0.12,900-1125,False,True,False,False
GB_diffusion_closed_shrinkage__m3__x3,GB_diffusion_closed_shrinkage,0.649,0.152,0.12,900-1125,False,True,False,False
GB_diffusion_closed_shrinkage__m3__x10,GB_diffusion_closed_shrinkage,0.649,0.152,0.12,900-1125,False,True,False,False
GB_diffusion_closed_shrinkage__m3__x30,GB_diffusion_closed_shrinkage,0.649,0.152,0.12,900-1125,False,True,False,False
GB_diffusion_closed_shrinkage__m3__x100,GB_diffusion_closed_shrinkage,0.649,0.152,0.12,900-1125,False,True,False,False
GB_diffusion_closed_shrinkage__m4__x0p03,GB_diffusion_closed_shrinkage,0.649,0.152,0.12,900-1125,False,True,False,False
GB_diffusion_closed_shrinkage__m4__x0p1,GB_diffusion_closed_shrinkage,0.649,0.152,0.12,900-1125,False,True,False,False
GB_diffusion_closed_shrinkage__m4__x0p3,GB_diffusion_closed_shrinkage,0.649,0.152,0.12,900-1125,False,True,False,False
GB_diffusion_closed_shrinkage__m4__x1,GB_diffusion_closed_shrinkage,0.649,0.152,0.12,900-1125,False,True,False,False
GB_diffusion_closed_shrinkage__m4__x3,GB_diffusion_closed_shrinkage,0.649,0.152,0.12,900-1125,False,True,False,False
GB_diffusion_closed_shrinkage__m4__x10,GB_diffusion_closed_shrinkage,0.649,0.152,0.12,900-1125,False,True,False,False
GB_diffusion_closed_shrinkage__m4__x30,GB_diffusion_closed_shrinkage,0.649,0.152,0.12,900-1125,False,True,False,False
GB_diffusion_closed_shrinkage__m4__x100,GB_diffusion_closed_shrinkage,0.649,0.152,0.12,900-1125,False,True,False,False
gas_accommodation_limited__m3__x0p03,gas_accommodation_limited,0.649,0.152,0.12,900-1125,False,True,False,False
gas_accommodation_limited__m3__x0p1,gas_accommodation_limited,0.649,0.152,0.12,900-1125,False,True,False,False
gas_accommodation_limited__m3__x0p3,gas_accommodation_limited,0.649,0.152,0.12,900-1125,False,True,False,False
gas_accommodation_limited__m3__x1,gas_accommodation_limited,0.649,0.152,0.12,900-1125,False,True,False,False
gas_accommodation_limited__m3__x3,gas_accommodation_limited,0.649,0.152,0.12,900-1125,False,True,False,False
gas_accommodation_limited__m3__x10,gas_accommodation_limited,0.649,0.152,0.12,900-1125,False,True,False,False
gas_accommodation_limited__m3__x30,gas_accommodation_limited,0.649,0.152,0.12,900-1125,False,True,False,False
gas_accommodation_limited__m3__x100,gas_accommodation_limited,0.649,0.152,0.12,900-1125,False,True,False,False
empirical_closed_rate_scale__m4__x1,empirical_closed_rate_scale,0.649,0.152,0.0022483232269391,none,False,False,False,False
empirical_closed_rate_scale__m4__x30,empirical_closed_rate_scale,0.649,0.152,0.034280496409498,none,False,False,False,False
empirical_closed_rate_scale__m4__x100,empirical_closed_rate_scale,0.649,0.152,0.0575333073031034,none,False,False,False,False
empirical_closed_rate_scale__m4__x300,empirical_closed_rate_scale,0.649,0.152,0.0766148966626683,none,False,False,False,False
candidate_693168,conditional comparator,0.649,0.152,0.244,conditional interval (inherited),True,True,True,False
