figure_id,panel_id,candidate_id,evidence_level,model_layer,source_file,source_table,source_branch_or_commit,units_reference,human_readable_label_reference,derivation_notes,T1_C,T2_C,rho_switch,G0_nm,rho1,G1_nm,first_step_growth_fraction,closed_fraction_at_switch,accommodation_at_switch,candidate_parameters_frozen,target_density,time_budget_h,growth_tolerance,classification,rho_final,G_final_nm,growth_fraction,target_attained,numerical_censor,closed_fraction_final,closed_shrinkage_contribution,open_shrinkage_contribution,map_type,rho_target,rho2,G2_nm,success_flag,lower_boundary_region_flag,upper_boundary_region_flag,unattainable_flag,censored_flag,practical_T2_less_than_T1
Figure 5,T1_T2,693168,exact,candidate_693168_audit,results/publication_style_sintering_figures_693168/source_tables/chen_map_T1_T2_classification.csv,filled exact publication map,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Complete grid including all saved failure/success/censored/ineligible rows; no sparse filtering.,1200,800,0.88,100,0.8800000043945547,106.2462414527545,0.0319695920456362,0.5500726946308819,0.0810674795961924,True,0.98,500.0,0.2,DENSIFICATION_EXHAUSTION_FAILURE,0.90331062696318,106.24632719850216,8.070473505039644e-07,False,False,0.4607823737034549,0.0233102914333762,3.311352489600481e-07,T1_T2,0.98,0.90331062696318,106.24632719850216,False,True,False,False,False,True
Figure 5,T1_T2,693168,exact,candidate_693168_audit,results/publication_style_sintering_figures_693168/source_tables/chen_map_T1_T2_classification.csv,filled exact publication map,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Complete grid including all saved failure/success/censored/ineligible rows; no sparse filtering.,1200,810,0.88,100,0.8800000043945547,106.2462414527545,0.0319695920456362,0.5500726946308819,0.0810674795961924,True,0.98,500.0,0.2,DENSIFICATION_EXHAUSTION_FAILURE,0.9111446079239632,106.24638473253523,1.3485632881504728e-06,False,False,0.4197786483869913,0.0311440463347459,5.571946624015963e-07,T1_T2,0.98,0.9111446079239632,106.24638473253523,False,True,False,False,False,True
Figure 5,T1_T2,693168,exact,candidate_693168_audit,results/publication_style_sintering_figures_693168/source_tables/chen_map_T1_T2_classification.csv,filled exact publication map,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Complete grid including all saved failure/success/censored/ineligible rows; no sparse filtering.,1200,820,0.88,100,0.8800000043945547,106.2462414527545,0.0319695920456362,0.5500726946308819,0.0810674795961924,True,0.98,500.0,0.2,DENSIFICATION_EXHAUSTION_FAILURE,0.9215442129988312,106.24647823266524,2.2285956426948417e-06,False,False,0.3522245980693149,0.0415432673469502,9.4125732605932e-07,T1_T2,0.98,0.9215442129988312,106.24647823266524,False,True,False,False,False,True
Figure 5,T1_T2,693168,exact,candidate_693168_audit,results/publication_style_sintering_figures_693168/source_tables/chen_map_T1_T2_classification.csv,filled exact publication map,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Complete grid including all saved failure/success/censored/ineligible rows; no sparse filtering.,1200,830,0.88,100,0.8800000043945547,106.2462414527545,0.0319695920456362,0.5500726946308819,0.0810674795961924,True,0.98,500.0,0.2,DENSIFICATION_EXHAUSTION_FAILURE,0.9355660555558888,106.2466283362352,3.641385101227357e-06,False,False,0.225503429763812,0.0555644396359868,1.6115253470115869e-06,T1_T2,0.98,0.9355660555558888,106.2466283362352,False,True,False,False,False,True
Figure 5,T1_T2,693168,exact,candidate_693168_audit,results/publication_style_sintering_figures_693168/source_tables/chen_map_T1_T2_classification.csv,filled exact publication map,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Complete grid including all saved failure/success/censored/ineligible rows; no sparse filtering.,1200,840,0.88,100,0.8800000043945547,106.2462414527545,0.0319695920456362,0.5500726946308819,0.0810674795961924,True,0.98,500.0,0.2,DENSIFICATION_EXHAUSTION_FAILURE,0.9512305954826727,106.24686947096168,5.910968694955443e-06,False,False,4.069257149042414e-05,0.0710998975555439,2.8608692866580753e-06,T1_T2,0.98,0.9512305954826727,106.24686947096168,False,True,False,False,False,True
Figure 5,T1_T2,693168,exact,candidate_693168_audit,results/publication_style_sintering_figures_693168/source_tables/chen_map_T1_T2_classification.csv,filled exact publication map,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Complete grid including all saved failure/success/censored/ineligible rows; no sparse filtering.,1200,850,0.88,100,0.8800000043945547,106.2462414527545,0.0319695920456362,0.5500726946308819,0.0810674795961924,True,0.98,500.0,0.2,DENSIFICATION_EXHAUSTION_FAILURE,0.9525981083708156,106.24725109841302,9.502883534517892e-06,False,False,5.2420563487817634e-05,0.0718796617014145,4.9808797824363395e-06,T1_T2,0.98,0.9525981083708156,106.24725109841302,False,True,False,False,False,True
Figure 5,T1_T2,693168,exact,candidate_693168_audit,results/publication_style_sintering_figures_693168/source_tables/chen_map_T1_T2_classification.csv,filled exact publication map,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Complete grid including all saved failure/success/censored/ineligible rows; no sparse filtering.,1200,860,0.88,100,0.8800000043945547,106.2462414527545,0.0319695920456362,0.5500726946308819,0.0810674795961924,True,0.98,500.0,0.2,DENSIFICATION_EXHAUSTION_FAILURE,0.954230073990282,106.24784778566811,1.5118962248816814e-05,False,False,5.9775471550027795e-05,0.0728093147164447,8.289826137234422e-06,T1_T2,0.98,0.954230073990282,106.24784778566811,False,True,False,False,False,True
Figure 5,T1_T2,693168,exact,candidate_693168_audit,results/publication_style_sintering_figures_693168/source_tables/chen_map_T1_T2_classification.csv,filled exact publication map,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Complete grid including all saved failure/success/censored/ineligible rows; no sparse filtering.,1200,870,0.88,100,0.8800000043945547,106.2462414527545,0.0319695920456362,0.5500726946308819,0.0810674795961924,True,0.98,500.0,0.2,DENSIFICATION_EXHAUSTION_FAILURE,0.9561844657314288,106.24876943689434,2.3793633593616192e-05,False,False,0.0001119865699478,0.0739211540858465,1.3333521944338211e-05,T1_T2,0.98,0.9561844657314288,106.24876943689434,False,True,False,False,False,True
Figure 5,T1_T2,693168,exact,candidate_693168_audit,results/publication_style_sintering_figures_693168/source_tables/chen_map_T1_T2_classification.csv,filled exact publication map,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Complete grid including all saved failure/success/censored/ineligible rows; no sparse filtering.,1200,880,0.88,100,0.8800000043945547,106.2462414527545,0.0319695920456362,0.5500726946308819,0.0810674795961924,True,0.98,500.0,0.2,DENSIFICATION_EXHAUSTION_FAILURE,0.9585369967054238,106.25017488589546,3.702185684106851e-05,False,False,9.783799709219512e-05,0.0752575686201839,2.084608507752088e-05,T1_T2,0.98,0.9585369967054238,106.25017488589546,False,True,False,False,False,True
Figure 5,T1_T2,693168,exact,candidate_693168_audit,results/publication_style_sintering_figures_693168/source_tables/chen_map_T1_T2_classification.csv,filled exact publication map,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Complete grid including all saved failure/success/censored/ineligible rows; no sparse filtering.,1200,890,0.88,100,0.8800000043945547,106.2462414527545,0.0319695920456362,0.5500726946308819,0.0810674795961924,True,0.98,500.0,0.2,DENSIFICATION_EXHAUSTION_FAILURE,0.961350987732722,106.25228932600623,5.692317364869304e-05,False,False,0.0001267151354526,0.0768514309662921,3.177613930851324e-05,T1_T2,0.98,0.961350987732722,106.25228932600623,False,True,False,False,False,True
