material_id,ablation_mode,path,t_h,T_C,rho,G_nm,tau_nuc,tau_exchange,tau_transport,activity,rho_dot,G_dot,cumulative_growth_before_activation_nm,cumulative_growth_during_densification_nm,PR_exposure,pore_D50_nm,pore_D90_nm,connected_fine
E0021,full_material_model,reference,0.0,25.0,0.7,50.0,172823517.61956906,1036941105717.4144,25923.527642935358,0.9998333611106475,5.336447397662389e-15,2.7002497871494853e-20,0.0,0.0,0.0,29.7216732673867,85.73214099741126,1.3836260167713135
E0021,full_material_model,reference,1.0,85.0,0.7000000000192111,50.00000009720898,172823517.61956906,1036941105717.4144,25923.527743735343,0.9998333611106475,5.336447397257787e-15,2.7002497818997144e-20,0.0,9.720898180292113e-08,5.2266690657148366e-21,29.7216732673867,85.73214099741126,1.383626016666409
E0021,full_material_model,reference,2.0,145.0,0.7000000000384223,50.000000194417964,172823517.61956906,1036941105717.4144,25923.527844535336,0.9998333611106475,5.3364473968531856e-15,2.700249776649944e-20,0.0,1.9441796360584226e-07,1.0453338131368098e-20,29.7216732673867,85.73214099741126,1.3836260165615046
E0021,full_material_model,reference,3.0,205.0,0.7000000002538405,50.00000029162695,172823517.61956906,9213476592.316536,25923.527945335325,0.981587735499127,5.896347561132251e-13,2.7002497714001733e-20,0.0,2.916269454087634e-07,1.8242487600204987e-18,29.7216732673867,85.73214099741126,1.3836260153851976
E0021,full_material_model,reference,4.0,265.0,0.7000000259967776,50.00000038883592,172823517.61956906,59168596.02202636,25923.528046135318,0.2551289558009321,2.3853763986500052e-11,2.7002497661504027e-20,0.0,3.888359272116845e-07,1.686286839645317e-14,29.7216732673867,85.73214099741126,1.3836258748139065
E0021,full_material_model,reference,5.0,325.0,0.7000001308499241,50.000000486044904,172823517.61956906,1046120.1462350651,25923.528146935303,0.006164870836293688,3.182658124128467e-11,2.7002497609006322e-20,0.0,4.860449090146057e-07,1.7392882410931063e-13,29.7216732673867,85.73214099741126,1.3836253022551828
E0021,full_material_model,reference,6.0,385.0,0.7000002458637997,50.000000583253886,172823517.61956906,38601.63121155669,25923.528247735296,0.0003732193298165963,3.2012038588034666e-11,2.7002497556508616e-20,0.0,5.832538908175268e-07,3.6126353386863747e-13,29.7216732673867,85.73214099741126,1.383624674213011
E0021,full_material_model,reference,7.0,445.0,0.7000003611299583,50.00000068046287,172823517.61956906,2472.14708488728,1159.771085839507,2.1014743230106304e-05,3.20233030167774e-11,2.700249750401091e-20,0.0,6.804628726204479e-07,5.494204173937291e-13,29.7216732673867,85.73214099741126,1.3836240447932353
E0021,full_material_model,reference,8.0,505.0,0.700000476415226,50.00000077767185,172823517.61956906,241.8798597195358,31.19453091508746,1.580074071620091e-06,3.20239108218445e-11,2.7002497451513205e-20,8.100748483576761e-08,6.966643695876014e-07,7.376398470791986e-13,29.7216732673867,85.73214099741126,1.3836234152691211
E0021,full_material_model,reference,9.0,565.0,0.7000005917013765,50.00000087488083,172823517.61956906,33.01064989283827,1.4080156291246484,1.9915494801511957e-07,3.2023940473902264e-11,2.7002497399015502e-20,1.7821646663868874e-07,6.966643695876014e-07,9.258623180151314e-13,29.7216732673867,85.73214099741126,1.3836227857401937
