candidate_id,family,generation,persistence_h,migration_coupling,q_TJ,partition,material_id,G0_nm,T1_C,rho_switch,topology_divergence_score,persistence_score,migration_factor_projection,rho_dot_invariant,rejection_reason
A_PR_002,PR_topology_generator,1,0.5,1,0,0,E0142,100,1500,0.88,0.12225441811607533,0.0022391677747663576,0.9977658348957386,True,no_first_step_topology_divergence
A_PR_002,PR_topology_generator,1,0.5,1,0,0,E0142,300,1500,0.8,0.05370532856103983,0.0009836474043248276,0.9990173192070865,True,no_first_step_topology_divergence
A_PR_002,PR_topology_generator,1,0.5,1,0,0,E0142,300,1500,0.88,0.0912707592720538,0.0016716822679275242,0.9983311075899215,True,no_first_step_topology_divergence
A_PR_002,PR_topology_generator,1,0.5,1,0,0,E0142,600,1500,0.8,0.032099695280948276,0.0005879264272042532,0.9994124190271778,True,no_first_step_topology_divergence
A_PR_002,PR_topology_generator,1,0.5,1,0,0,E0142,600,1500,0.88,0.05853703666831974,0.0010721432252335356,0.9989290050347626,True,no_first_step_topology_divergence
A_PR_003,PR_topology_generator,3,0.5,1,0,0,E0021,100,1500,0.8,1.9800860727653338,0.03626654147738168,0.9650026899202233,True,divergence_decays_before_second_step
A_PR_003,PR_topology_generator,3,0.5,1,0,0,E0021,300,1500,0.8,1.8594024249084338,0.034056143363459544,0.9670654793919741,True,divergence_decays_before_second_step
A_PR_003,PR_topology_generator,3,0.5,1,0,0,E0021,600,1500,0.8,1.634388610343299,0.02993487159090794,0.9709351800617562,True,divergence_decays_before_second_step
A_PR_003,PR_topology_generator,3,0.5,1,0,0,E0142,100,1500,0.8,0.2421126492759555,0.004434447854533149,0.995585129657784,True,divergence_decays_before_second_step
A_PR_003,PR_topology_generator,3,0.5,1,0,0,E0142,100,1500,0.88,0.366763254348226,0.0067175033242990725,0.9933273204229419,True,divergence_decays_before_second_step
A_PR_003,PR_topology_generator,3,0.5,1,0,0,E0142,300,1500,0.8,0.1611159856831195,0.0029509422129744825,0.9970577402255952,True,divergence_decays_before_second_step
A_PR_003,PR_topology_generator,3,0.5,1,0,0,E0142,300,1500,0.88,0.2738122778161614,0.005015046803782573,0.9950099783881526,True,divergence_decays_before_second_step
A_PR_003,PR_topology_generator,3,0.5,1,0,0,E0142,600,1500,0.8,0.09629908584284483,0.0017637792816127596,0.9982393261584307,True,no_first_step_topology_divergence
A_PR_003,PR_topology_generator,3,0.5,1,0,0,E0142,600,1500,0.88,0.17561111000495921,0.003216429675700607,0.9967938825755271,True,divergence_decays_before_second_step
A_PR_004,PR_topology_generator,0.1,2,1,0,0,E0021,100,1500,0.8,0.0660028690921778,0.024281098597342232,0.9762944970569183,True,no_first_step_topology_divergence
A_PR_004,PR_topology_generator,0.1,2,1,0,0,E0021,100,1500,0.88,0.10375629250423296,0.03816980690447793,0.9632335609737204,True,no_first_step_topology_divergence
A_PR_004,PR_topology_generator,0.1,2,1,0,0,E0021,300,1500,0.8,0.06198008083028113,0.022801197499604648,0.9777071071530364,True,no_first_step_topology_divergence
A_PR_004,PR_topology_generator,0.1,2,1,0,0,E0021,300,1500,0.88,0.10090480927937376,0.03712080484920699,0.9642078293332431,True,no_first_step_topology_divergence
A_PR_004,PR_topology_generator,0.1,2,1,0,0,E0021,600,1500,0.8,0.05447962034477664,0.02004193228766877,0.980351854513745,True,no_first_step_topology_divergence
A_PR_004,PR_topology_generator,0.1,2,1,0,0,E0021,600,1500,0.88,0.09404687130805793,0.03459791046073091,0.9665590756457997,True,no_first_step_topology_divergence
A_PR_004,PR_topology_generator,0.1,2,1,0,0,E0142,100,1500,0.8,0.00807042164253185,0.002968942203872531,0.997039846321314,True,no_first_step_topology_divergence
A_PR_004,PR_topology_generator,0.1,2,1,0,0,E0142,100,1500,0.88,0.012225441811607535,0.004497488701728165,0.9955226481376862,True,no_first_step_topology_divergence
A_PR_004,PR_topology_generator,0.1,2,1,0,0,E0142,300,1500,0.8,0.005370532856103984,0.0019757086258964038,0.998028187101855,True,no_first_step_topology_divergence
A_PR_004,PR_topology_generator,0.1,2,1,0,0,E0142,300,1500,0.88,0.00912707592720538,0.0033576635916296393,0.9966535725858607,True,no_first_step_topology_divergence
A_PR_004,PR_topology_generator,0.1,2,1,0,0,E0142,600,1500,0.8,0.003209969528094828,0.0011808817961728836,0.9988205110408677,True,no_first_step_topology_divergence
A_PR_004,PR_topology_generator,0.1,2,1,0,0,E0142,600,1500,0.88,0.005853703666831974,0.0021534572337373694,0.9978511701793839,True,no_first_step_topology_divergence
A_PR_005,PR_topology_generator,0.3,2,1,0,0,E0142,100,1500,0.8,0.02421126492759555,0.008906826611617591,0.9911718045941557,True,no_first_step_topology_divergence
A_PR_005,PR_topology_generator,0.3,2,1,0,0,E0142,100,1500,0.88,0.0366763254348226,0.013492466105184495,0.9866871569780528,True,no_first_step_topology_divergence
A_PR_005,PR_topology_generator,0.3,2,1,0,0,E0142,300,1500,0.8,0.016111598568311947,0.00592712587768921,0.9941077979455841,True,no_first_step_topology_divergence
A_PR_005,PR_topology_generator,0.3,2,1,0,0,E0142,300,1500,0.88,0.02738122778161614,0.010072990774888917,0.9900274625033174,True,no_first_step_topology_divergence
A_PR_005,PR_topology_generator,0.3,2,1,0,0,E0142,600,1500,0.8,0.009629908584284483,0.003542645388518651,0.9964698606433939,True,no_first_step_topology_divergence
A_PR_005,PR_topology_generator,0.3,2,1,0,0,E0142,600,1500,0.88,0.01756111100049592,0.006460371701212108,0.993581096799378,True,no_first_step_topology_divergence
A_PR_006,PR_topology_generator,1,2,1,0,0,E0142,100,1500,0.8,0.0807042164253185,0.029689422038725308,0.9711666242235042,True,no_first_step_topology_divergence
A_PR_006,PR_topology_generator,1,2,1,0,0,E0142,100,1500,0.88,0.12225441811607533,0.044974887017281646,0.9569607963061624,True,no_first_step_topology_divergence
A_PR_006,PR_topology_generator,1,2,1,0,0,E0142,300,1500,0.8,0.05370532856103983,0.019757086258964034,0.9806256935841025,True,no_first_step_topology_divergence
A_PR_006,PR_topology_generator,1,2,1,0,0,E0142,300,1500,0.88,0.0912707592720538,0.03357663591629639,0.9675141303029459,True,no_first_step_topology_divergence
A_PR_006,PR_topology_generator,1,2,1,0,0,E0142,600,1500,0.8,0.032099695280948276,0.011808817961728836,0.9883290027205757,True,no_first_step_topology_divergence
A_PR_006,PR_topology_generator,1,2,1,0,0,E0142,600,1500,0.88,0.05853703666831974,0.021534572337373693,0.9789193895923656,True,no_first_step_topology_divergence
A_PR_007,PR_topology_generator,3,2,1,0,0.25,E0142,600,1500,0.8,0.12037385730355604,0.04428306735648314,0.9575947664567788,True,no_first_step_topology_divergence
A_PR_008,PR_topology_generator,0.1,8,1,0,0.25,E0021,100,1500,0.8,0.08250358636522225,0.06425385766743437,0.9396254406742185,True,no_first_step_topology_divergence
A_PR_008,PR_topology_generator,0.1,8,1,0,0.25,E0021,100,1500,0.88,0.12969536563029122,0.10100685231360297,0.9082595606908785,True,no_first_step_topology_divergence
A_PR_008,PR_topology_generator,0.1,8,1,0,0.25,E0021,300,1500,0.8,0.07747510103785141,0.06033766935681489,0.9430957975930301,True,no_first_step_topology_divergence
A_PR_008,PR_topology_generator,0.1,8,1,0,0.25,E0021,300,1500,0.88,0.1261310115992172,0.0982309306030588,0.9105553050221246,True,no_first_step_topology_divergence
A_PR_008,PR_topology_generator,0.1,8,1,0,0.25,E0021,600,1500,0.8,0.0680995254309708,0.05303596373243111,0.9496351828816483,True,no_first_step_topology_divergence
A_PR_008,PR_topology_generator,0.1,8,1,0,0.25,E0021,600,1500,0.88,0.11755858913507242,0.09155472127516395,0.9161244786993281,True,no_first_step_topology_divergence
A_PR_008,PR_topology_generator,0.1,8,1,0,0.25,E0142,100,1500,0.8,0.010088027053164812,0.007856563368650272,0.9922046810486697,True,no_first_step_topology_divergence
