candidate_id,family,generation,persistence_h,migration_coupling,q_TJ,partition,material_id,G0_nm,T1_C,rho_switch,topology_divergence_score,persistence_score,migration_factor_projection,rho_dot_invariant,rejection_reason,second_step_time_h,state_difference,migration_factor
A_PR_079,PR_topology_generator,3.0,24.0,1,1,0.75,E0021,100,1500,0.88,5.44720535647223,5.011670863561207,0.16634310538544983,True,,0.0,5.44720535647223,0.15510596370195012
A_PR_079,PR_topology_generator,3.0,24.0,1,1,0.75,E0021,100,1500,0.88,5.44720535647223,5.011670863561207,0.16634310538544983,True,,0.1,5.424555886650711,0.15565278248693484
A_PR_079,PR_topology_generator,3.0,24.0,1,1,0.75,E0021,100,1500,0.88,5.44720535647223,5.011670863561207,0.16634310538544983,True,,0.2,5.40200059328292,0.15620117265362576
A_PR_079,PR_topology_generator,3.0,24.0,1,1,0.75,E0021,100,1500,0.88,5.44720535647223,5.011670863561207,0.16634310538544983,True,,0.30000000000000004,5.379539084783334,0.156751136204374
A_PR_079,PR_topology_generator,3.0,24.0,1,1,0.75,E0021,100,1500,0.88,5.44720535647223,5.011670863561207,0.16634310538544983,True,,0.4,5.357170971194646,0.15730267512564305
A_PR_079,PR_topology_generator,3.0,24.0,1,1,0.75,E0021,100,1500,0.88,5.44720535647223,5.011670863561207,0.16634310538544983,True,,0.5,5.334895864180988,0.15785579138786457
A_PR_079,PR_topology_generator,3.0,24.0,1,1,0.75,E0021,100,1500,0.88,5.44720535647223,5.011670863561207,0.16634310538544983,True,,0.6000000000000001,5.3127133770211925,0.15841048694529425
A_PR_079,PR_topology_generator,3.0,24.0,1,1,0.75,E0021,100,1500,0.88,5.44720535647223,5.011670863561207,0.16634310538544983,True,,0.7000000000000001,5.290623124602079,0.158966763735867
A_PR_079,PR_topology_generator,3.0,24.0,1,1,0.75,E0021,100,1500,0.88,5.44720535647223,5.011670863561207,0.16634310538544983,True,,0.8,5.268624723411765,0.1595246236810519
A_PR_079,PR_topology_generator,3.0,24.0,1,1,0.75,E0021,100,1500,0.88,5.44720535647223,5.011670863561207,0.16634310538544983,True,,0.9,5.246717791533011,0.16008406868570724
A_PR_079,PR_topology_generator,3.0,24.0,1,1,0.75,E0021,100,1500,0.88,5.44720535647223,5.011670863561207,0.16634310538544983,True,,1.0,5.224901948636588,0.1606451006379346
A_PR_079,PR_topology_generator,3.0,24.0,1,1,0.75,E0021,100,1500,0.88,5.44720535647223,5.011670863561207,0.16634310538544983,True,,1.1,5.203176815974675,0.1612077214089334
A_PR_079,PR_topology_generator,3.0,24.0,1,1,0.75,E0021,100,1500,0.88,5.44720535647223,5.011670863561207,0.16634310538544983,True,,1.2000000000000002,5.181542016374286,0.16177193285285452
A_PR_079,PR_topology_generator,3.0,24.0,1,1,0.75,E0021,100,1500,0.88,5.44720535647223,5.011670863561207,0.16634310538544983,True,,1.3,5.159997174230717,0.16233773680665425
A_PR_079,PR_topology_generator,3.0,24.0,1,1,0.75,E0021,100,1500,0.88,5.44720535647223,5.011670863561207,0.16634310538544983,True,,1.4000000000000001,5.138541915501027,0.16290513508994753
A_PR_079,PR_topology_generator,3.0,24.0,1,1,0.75,E0021,100,1500,0.88,5.44720535647223,5.011670863561207,0.16634310538544983,True,,1.5,5.117175867697549,0.16347412950486107
