mode,path,final_rho,final_G_um,closed_inventory_formed,final_A_closed,PR_memory_final,matched_density_G5_over_G50_median
baseline_forward_current,PDF_conditioned_5C_min,0.9370114819957471,0.9378569902529972,0.00019513691209071065,0.17130037636087972,0.4277670042020686,0.6005296307310997
baseline_forward_current,PDF_conditioned_50C_min,0.9005037465317097,0.25847102380067877,2.7095039986133637e-05,0.015390840896590626,0.4909490392894483,0.6005296307310997
defined_laws_port,PDF_conditioned_5C_min,0.9370114819957471,0.9378569902529972,0.00019513691209071065,0.17130037636087972,0.4277670042020686,0.6005296307310997
defined_laws_port,PDF_conditioned_50C_min,0.9005037465317097,0.25847102380067877,2.7095039986133637e-05,0.015390840896590626,0.4909490392894483,0.6005296307310997
reduced_candidate_law_transfer,PDF_conditioned_5C_min,0.9380876430408678,0.943062768537573,0.00014625790660374624,0.1650467272052919,0.42680982000301726,0.6005253384145891
reduced_candidate_law_transfer,PDF_conditioned_50C_min,0.9005040621473986,0.25847183284463404,2.7057560035038193e-05,0.015388966393390139,0.49094911565843413,0.6005253384145891
mechanistic_GB_diffusion,PDF_conditioned_5C_min,0.9391400371355612,0.948334232362937,1.1368818306352345e-06,0.15645582342486405,0.4206450628160501,0.5993818621845819
mechanistic_GB_diffusion,PDF_conditioned_50C_min,0.9006714558333654,0.2594956645801923,1.999942581896077e-06,0.014138123851481086,0.4911667390505949,0.5993818621845819
mechanistic_renewal_limited,PDF_conditioned_5C_min,0.9368780834044641,0.9373113442549278,0.00020515188155209674,0.17204299899188447,0.4278297288369191,0.6005298019210118
mechanistic_renewal_limited,PDF_conditioned_50C_min,0.900503735549726,0.25847099578862087,2.7096343111443784e-05,0.015390906070697992,0.4909490366407836,0.6005298019210118
mechanistic_gas_accommodation,PDF_conditioned_5C_min,0.9391400371329384,0.9483342324048054,1.1368818279928206e-06,0.15645519920843146,0.4206450621716088,0.5993824152011824
mechanistic_gas_accommodation,PDF_conditioned_50C_min,0.9006714558331286,0.25949566458177287,1.9999425819061435e-06,0.014138123851936666,0.4911667390513572,0.5993824152011824
empirical_rate_scale_diagnostic,PDF_conditioned_5C_min,0.9368907518054637,0.9373691767494001,0.00020411736298723976,0.1719665733119689,0.42781185756285905,0.600529348333279
empirical_rate_scale_diagnostic,PDF_conditioned_50C_min,0.9005037478947463,0.258471046341686,2.70947145617809e-05,0.015390824740807479,0.4909490442003441,0.600529348333279
