mode,state_kind,T2_C,hold_h,initial_rho,initial_G_nm,closed_fraction_at_switch,A_closed_at_switch,PR_memory_at_switch,final_rho,final_G_um,Delta_rho_open,Delta_rho_closed,PR_topology_transfer,closed_inventory_formed,final_A_closed,classification,strict_success,candidate_state_injected,diagnostic_only
baseline_forward_current,candidate_like_injected,900,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.88381846609321,0.11702987295190607,5.798947706431618e-06,0.003784938389280802,7.637459033775949e-10,0.01370040419355827,0.9992590500330624,DENSIFICATION_EXHAUSTION_FAILURE,False,True,True
baseline_forward_current,candidate_like_injected,925,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.8850095053737896,0.1170722751716866,1.4812327711301583e-05,0.004958504295141819,2.524506527140982e-09,0.013543584930158442,0.9990426355451922,DENSIFICATION_EXHAUSTION_FAILURE,False,True,True
baseline_forward_current,candidate_like_injected,950,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.8864836694402318,0.1171687972841706,3.634038450213781e-05,0.006400585191893127,7.93382946547483e-09,0.013364336737011392,0.9987848371344661,DENSIFICATION_EXHAUSTION_FAILURE,False,True,True
baseline_forward_current,candidate_like_injected,975,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.8882894243079382,0.11738126629148476,8.574242141620314e-05,0.008143592105739639,2.3740626791690657e-08,0.013160890097667877,0.9984845132024043,DENSIFICATION_EXHAUSTION_FAILURE,False,True,True
baseline_forward_current,candidate_like_injected,1000,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.8904898491513595,0.11783414238299998,0.00019458398905526685,0.010217684733310613,6.761862452359387e-08,0.012928394654673145,0.9981417050634654,DENSIFICATION_EXHAUSTION_FAILURE,False,True,True
baseline_forward_current,candidate_like_injected,1025,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.8931783126193459,0.11876946006797098,0.0004240138233805371,0.012652337038776558,1.8272114528668882e-07,0.01265982332730857,0.9977563371880878,DENSIFICATION_EXHAUSTION_FAILURE,False,True,True
baseline_forward_current,candidate_like_injected,1050,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.8964949075909313,0.1206397745839705,0.0008768405984796608,0.015481113304698783,4.6519717483119785e-07,0.012344247360767885,0.9973244202648883,DENSIFICATION_EXHAUSTION_FAILURE,False,True,True
baseline_forward_current,candidate_like_injected,1075,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9005585225769724,0.12424784044847437,0.0016542133154360617,0.018714496372623537,1.1092404082838555e-06,0.011998060470783105,0.9968226420793336,DENSIFICATION_EXHAUSTION_FAILURE,False,True,True
baseline_forward_current,candidate_like_injected,1100,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9051301507578858,0.13089078549606592,0.002828545023190327,0.022023906099118085,2.4655034730336867e-06,0.011638744469449491,0.9961548973956869,DENSIFICATION_EXHAUSTION_FAILURE,False,True,True
baseline_forward_current,candidate_like_injected,1125,40,0.88,117.0,0.6490000000000001,0.152,1.0,0.9099232667972811,0.1424552857410118,0.0044776840250580425,0.025032901579633386,5.0660789256884194e-06,0.011211998519647931,0.9956411991252679,DENSIFICATION_EXHAUSTION_FAILURE,False,True,True
