mode,path,Delta_rho_open,Delta_rho_closed,PR_topology_transfer,closed_transition,state_density_gain
baseline_forward_current,PDF_conditioned_5C_min,0.27134178756625765,0.00015628614897614736,0.0011070916844512968,0.003241620952741654,0.2770114819957471
baseline_forward_current,PDF_conditioned_50C_min,0.22516206233274846,6.960746271980164e-08,0.0019530828795048948,0.0003102879991613801,0.2405037465317097
defined_laws_port,PDF_conditioned_5C_min,0.27134178756625765,0.00015628614897614736,0.0011070916844512968,0.003241620952741654,0.2770114819957471
defined_laws_port,PDF_conditioned_50C_min,0.22516206233274846,6.960746271980164e-08,0.0019530828795048948,0.0003102879991613801,0.2405037465317097
reduced_candidate_law_transfer,PDF_conditioned_5C_min,0.27113264198859627,0.0014367998874580787,0.0011038189806323988,0.003244134686569585,0.27808764304086775
reduced_candidate_law_transfer,PDF_conditioned_50C_min,0.22516187404409876,1.7865991921112866e-06,0.001953081480583441,0.0003102883127412034,0.2405040621473986
mechanistic_GB_diffusion,PDF_conditioned_5C_min,0.27037112601559493,0.003260413096986036,0.0010827476837332163,0.003263495455177989,0.2791400371355611
mechanistic_GB_diffusion,PDF_conditioned_50C_min,0.2249012520997738,0.0003019068002097384,0.001960114879758202,0.0003115484710092405,0.24067145583336536
mechanistic_renewal_limited,PDF_conditioned_5C_min,0.27136052942925637,2.9119332613927305e-06,0.0011073136414032631,0.0032413992056110953,0.27687808340446407
mechanistic_renewal_limited,PDF_conditioned_50C_min,0.22516206888373444,9.14511109691986e-09,0.0019530829279430667,0.0003102879882345822,0.24050373554972593
mechanistic_gas_accommodation,PDF_conditioned_5C_min,0.27037132993285495,0.0032714159752964865,0.0010827476933800255,0.0032634941948896175,0.27914003713293833
mechanistic_gas_accommodation,PDF_conditioned_50C_min,0.22490125192433474,0.00030190680195979984,0.0019601148793599475,0.00031154847105765483,0.24067145583312854
empirical_rate_scale_diagnostic,PDF_conditioned_5C_min,0.2713574445243663,1.8658383037841543e-05,0.0011072540527184247,0.003241442822087459,0.27689075180546363
empirical_rate_scale_diagnostic,PDF_conditioned_50C_min,0.22516206384486342,4.658781766512255e-08,0.0019530828485327522,0.00031028800080718785,0.24050374789474627
